{'Nombre: ': 'OSCAR', 'matemáticas': 0, 'FQ': 7, 'EF': 0, 'plástica': 0, 'historia': 5, 'geografía': 8, 'castellano': 4, 'TIC': 0, 'Cuci': 10, 'biología': 1}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 10, 'FQ': 1, 'EF': 9, 'plástica': 3, 'historia': 7, 'geografía': 3, 'castellano': 0, 'TIC': 5, 'Cuci': 6, 'biología': 9}
{'Nombre: ': 'ANTONIO', 'matemáticas': 2, 'FQ': 8, 'EF': 1, 'plástica': 4, 'historia': 9, 'geografía': 4, 'castellano': 1, 'TIC': 3, 'Cuci': 7, 'biología': 10}
{'Nombre: ': 'MARIA', 'matemáticas': 6, 'FQ': 3, 'EF': 9, 'plástica': 7, 'historia': 6, 'geografía': 1, 'castellano': 1, 'TIC': 2, 'Cuci': 2, 'biología': 0}
{'Nombre: ': 'MANUEL', 'matemáticas': 0, 'FQ': 7, 'EF': 5, 'plástica': 6, 'historia': 8, 'geografía': 6, 'castellano': 5, 'TIC': 2, 'Cuci': 5, 'biología': 2}
{'Nombre: ': 'CARMEN', 'matemáticas': 5, 'FQ': 2, 'EF': 1, 'plástica': 10, 'historia': 10, 'geografía': 6, 'castellano': 3, 'TIC': 7, 'Cuci': 3, 'biología': 9}
{'Nombre: ': 'JOSE', 'matemáticas': 7, 'FQ': 7, 'EF': 2, 'plástica': 2, 'historia': 5, 'geografía': 7, 'castellano': 5, 'TIC': 1, 'Cuci': 7, 'biología': 1}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 5, 'FQ': 3, 'EF': 10, 'plástica': 5, 'historia': 0, 'geografía': 8, 'castellano': 4, 'TIC': 6, 'Cuci': 10, 'biología': 8}
{'Nombre: ': 'FRANCISCO', 'matemáticas': 0, 'FQ': 4, 'EF': 8, 'plástica': 6, 'historia': 4, 'geografía': 6, 'castellano': 5, 'TIC': 8, 'Cuci': 9, 'biología': 3}
{'Nombre: ': 'MARIA PILAR', 'matemáticas': 6, 'FQ': 8, 'EF': 9, 'plástica': 4, 'historia': 4, 'geografía': 10, 'castellano': 10, 'TIC': 7, 'Cuci': 6, 'biología': 4}
{'Nombre: ': 'DAVID', 'matemáticas': 3, 'FQ': 5, 'EF': 6, 'plástica': 1, 'historia': 2, 'geografía': 5, 'castellano': 0, 'TIC': 1, 'Cuci': 10, 'biología': 10}
{'Nombre: ': 'LAURA', 'matemáticas': 9, 'FQ': 5, 'EF': 8, 'plástica': 1, 'historia': 9, 'geografía': 2, 'castellano': 3, 'TIC': 10, 'Cuci': 3, 'biología': 0}
{'Nombre: ': 'PILAR', 'matemáticas': 5, 'FQ': 4, 'EF': 10, 'plástica': 8, 'historia': 1, 'geografía': 10, 'castellano': 2, 'TIC': 7, 'Cuci': 1, 'biología': 5}


{'Nombre: ': 'OSCAR', 'matemáticas': 2, 'FQ': 10, 'EF': 2, 'plástica': 5, 'historia': 7, 'geografía': 4, 'castellano': 2, 'TIC': 9, 'Cuci': 2, 'biología': 7}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 8, 'FQ': 1, 'EF': 9, 'plástica': 10, 'historia': 3, 'geografía': 4, 'castellano': 7, 'TIC': 7, 'Cuci': 10, 'biología': 1}
{'Nombre: ': 'ANTONIO', 'matemáticas': 6, 'FQ': 10, 'EF': 2, 'plástica': 1, 'historia': 8, 'geografía': 2, 'castellano': 0, 'TIC': 4, 'Cuci': 9, 'biología': 0}
{'Nombre: ': 'MARIA', 'matemáticas': 3, 'FQ': 3, 'EF': 3, 'plástica': 8, 'historia': 9, 'geografía': 8, 'castellano': 4, 'TIC': 7, 'Cuci': 10, 'biología': 3}
{'Nombre: ': 'MANUEL', 'matemáticas': 8, 'FQ': 1, 'EF': 8, 'plástica': 7, 'historia': 10, 'geografía': 3, 'castellano': 6, 'TIC': 8, 'Cuci': 7, 'biología': 5}
{'Nombre: ': 'CARMEN', 'matemáticas': 2, 'FQ': 7, 'EF': 1, 'plástica': 3, 'historia': 7, 'geografía': 8, 'castellano': 7, 'TIC': 0, 'Cuci': 3, 'biología': 2}
{'Nombre: ': 'JOSE', 'matemáticas': 5, 'FQ': 0, 'EF': 3, 'plástica': 7, 'historia': 0, 'geografía': 6, 'castellano': 7, 'TIC': 10, 'Cuci': 4, 'biología': 1}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 7, 'FQ': 6, 'EF': 10, 'plástica': 8, 'historia': 7, 'geografía': 9, 'castellano': 1, 'TIC': 0, 'Cuci': 1, 'biología': 1}
